# source_patch=generated original-to-PR17 code-and-consumer diff; see verify_split.sh
# source_sha256=0d1b584e0267ab1c5cc8e821b3e420c669ee22aca7bbbd54ad96331c7a8f7cd8
# original_commit=26254111b82a6734053ac7d32ced5fff5e942295
# pr17_commit=27e1d83c21b1c8f5805e6018865ada8190e6615d
# shared_stack_base=2b94440914ea54bcff909105485381a8d53151de
# The source ranges form an exact, ordered partition of the aggregate patch.
# Repeated file headers in artifacts are human-readable scaffolding and are not duplicate hunk ownership.
source_start	source_end	kind	path	owner_type	owner_commit	owner_subject	artifact	artifact_start	artifact_end	basis
1	4	file-header	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	1	4	canonical original file header; repeated in other owner files only as patch scaffolding
5	13	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	5	13	exact changed-line overlap; owner=1a1d3704da; score=2
14	25	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	14	25	exact changed-line overlap; owner=1a1d3704da; score=4
26	34	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	26	34	exact changed-line overlap; owner=1a1d3704da; score=2
35	47	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	35	47	exact changed-line overlap; owner=1a1d3704da; score=5
48	55	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	48	55	exact changed-line overlap; owner=1a1d3704da; score=1
56	69	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	56	69	exact changed-line overlap; owner=1a1d3704da; score=7
70	78	hunk	.github/scripts/run_rocjitsu_hipblaslt_race_check.sh	current-stack-commit	1a1d3704daed96ba2433341accce35a4ef384abd	13-refactor(tensilelite): activate installed runtime and retire source entrypoints	13-refactor-tensilelite-activate-installed-runtime-and-retire-source-entrypoints.patch	70	78	exact changed-line overlap; owner=1a1d3704da; score=2
79	82	file-header	.github/workflows/component-ci-tensilelite-coverage.yml	current-stack-commit	5ac5a9cfbf1503aed524c0f27b62865f4e1e410e	15-docs(tensilelite): finalize installed workflow guidance	15-docs-tensilelite-finalize-installed-workflow-guidance.patch	1	4	canonical original file header; repeated in other owner files only as patch scaffolding
83	93	hunk	.github/workflows/component-ci-tensilelite-coverage.yml	current-stack-commit	5ac5a9cfbf1503aed524c0f27b62865f4e1e410e	15-docs(tensilelite): finalize installed workflow guidance	15-docs-tensilelite-finalize-installed-workflow-guidance.patch	5	15	exact changed-line overlap; owner=5ac5a9cfbf; score=4
